,text,diggCount,replyCommentTotal,createTimeISO,uniqueId,videoWebUrl,uid,cid,avatarThumbnail,source_file,text_casefold,text_clean,tokens,token_count,tokens_nostop,token_count_nostop
0,aav,0,0,2026-01-17T11:58:59.000Z,carisiapayaka,https://www.tiktok.com/@badangizinasional.ri/video/7572913032108821768,7496100765975757841,7596298776109843216,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/1d9314c5e770ffb0468e34dfc5fa557b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f3365d01&x-expires=1770796800&x-signature=vawLbbnQzTLTcr2Sdl0qlOvs0Yw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,mbg_tiktok_bgn1,aav,aav,['aav'],1,['aav'],1
1,,1,0,2025-11-16T15:18:16.000Z,sikalengbatak,https://www.tiktok.com/@badangizinasional.ri/video/7572913032108821768,6918034403601400833,7573342826701636372,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/5dd746393d80c8e0e6c9c912cdea0c63~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=42c26bd4&x-expires=1770796800&x-signature=v5oLZ7a%2F1BE8b%2FkEWMyUjakADuE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,mbg_tiktok_bgn1,,,[],0,[],0
2,pretttttt,3,0,2025-11-16T15:36:05.000Z,preittyiesss00,https://www.tiktok.com/@badangizinasional.ri/video/7572913032108821768,6763160826117211137,7573347425672282887,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e25bd00f13c6865bf922b904cfec58cc~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=95c53809&x-expires=1770796800&x-signature=%2B5h%2B8yrEEZQyYAlXuA5WmCpqbVc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,mbg_tiktok_bgn1,pretttttt,pretttttt,['pretttttt'],1,['pretttttt'],1
3,,0,0,2025-11-17T00:56:13.000Z,dheanhypuspa,https://www.tiktok.com/@badangizinasional.ri/video/7572913032108821768,6789587003924808705,7573491730725798676,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7f4bcd15a3c611ad7aad19075ad12002~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ba10f0f3&x-expires=1770796800&x-signature=7JajaLqHHLjXNTt0OvwBEeYIwc4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,mbg_tiktok_bgn1,,,[],0,[],0
4,halah,0,0,2025-11-17T01:18:02.000Z,buanamooz,https://www.tiktok.com/@badangizinasional.ri/video/7572913032108821768,6834066721877033986,7573497363781157639,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/d7ebfa9dab7dd25cced53a273c5125f4~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=28de3306&x-expires=1770796800&x-signature=mkVBck15G%2BzudokSBeYw7VBm8eQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,mbg_tiktok_bgn1,halah,halah,['halah'],1,['halah'],1
5,KOCAK LU AH,0,0,2025-11-16T15:13:02.000Z,oohsehuni3,https://www.tiktok.com/@badangizinasional.ri/video/7572913032108821768,7043759947129914370,7573341497190941448,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/89be7879ab7f331ca1f33d7073763586~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=07292d10&x-expires=1770796800&x-signature=3VDFa0lY13Lycr4D2zUnVtQZTWM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,mbg_tiktok_bgn1,kocak lu ah,kocak lu ah,"['kocak', 'lu', 'ah']",3,"['kocak', 'lu', 'ah']",3
6,MBG?,1,0,2025-11-16T16:30:43.000Z,xoxx0o,https://www.tiktok.com/@badangizinasional.ri/video/7572913032108821768,6922310009796084737,7573361516293047058,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/d23d1d8df92c42dc6344b46fc02077cb~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0a60ee9f&x-expires=1770796800&x-signature=Zz1%2FWnpM6wDH641jgDUeQ66jy0w%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,mbg_tiktok_bgn1,mbg?,mbg,['mbg'],1,['mbg'],1
7,"kocak sih sistem rekruitmen nya,di cantumkan yang di perlukan adalah AG sebagai pengawas gizi/ sebagai sppg kok malah yang di masukan non AG yg punya ordal buat masuk biar bisa kerja di mbg, dan yang lebih kocaknya pelatihan hanya 3 bulan wkwkwk, sedangkan ahli gizi biar bisa ngejalanin profesinya harus melalui proses pendidikan yang sesuai dan sama pengambilan profesi ada di uu no. 17 tahun 2023",2,0,2025-11-16T14:38:14.000Z,ririicungie,https://www.tiktok.com/@badangizinasional.ri/video/7572913032108821768,6926700927702811649,7573332516431397639,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/a34574575af3a9e1a79ccf17d5869924~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=fda77183&x-expires=1770796800&x-signature=jafF0e4H0iEF6l8ae%2FXVJNTIKLM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,mbg_tiktok_bgn1,"kocak sih sistem rekruitmen nya,di cantumkan yang di perlukan adalah ag sebagai pengawas gizi/ sebagai sppg kok malah yang di masukan non ag yg punya ordal buat masuk biar bisa kerja di mbg, dan yang lebih kocaknya pelatihan hanya 3 bulan wkwkwk, sedangkan ahli gizi biar bisa ngejalanin profesinya harus melalui proses pendidikan yang sesuai dan sama pengambilan profesi ada di uu no. 17 tahun 2023",kocak sih sistem rekruitmen nya di cantumkan yang di perlukan adalah ag sebagai pengawas gizi sebagai sppg kok malah yang di masukan non ag yg punya ordal buat masuk biar bisa kerja di mbg dan yang lebih kocaknya pelatihan hanya bulan wkwkwk sedangkan ahli gizi biar bisa ngejalanin profesinya harus melalui proses pendidikan yang sesuai dan sama pengambilan profesi ada di uu no tahun,"['kocak', 'sih', 'sistem', 'rekruitmen', 'nya', 'di', 'cantumkan', 'yang', 'di', 'perlukan', 'adalah', 'ag', 'sebagai', 'pengawas', 'gizi', 'sebagai', 'sppg', 'kok', 'malah', 'yang', 'di', 'masukan', 'non', 'ag', 'yg', 'punya', 'ordal', 'buat', 'masuk', 'biar', 'bisa', 'kerja', 'di', 'mbg', 'dan', 'yang', 'lebih', 'kocaknya', 'pelatihan', 'hanya', 'bulan', 'wkwkwk', 'sedangkan', 'ahli', 'gizi', 'biar', 'bisa', 'ngejalanin', 'profesinya', 'harus', 'melalui', 'proses', 'pendidikan', 'yang', 'sesuai', 'dan', 'sama', 'pengambilan', 'profesi', 'ada', 'di', 'uu', 'no', 'tahun']",64,"['kocak', 'sistem', 'rekruitmen', 'cantumkan', 'perlukan', 'ag', 'pengawas', 'gizi', 'sppg', 'masukan', 'non', 'ag', 'ordal', 'masuk', 'biar', 'kerja', 'mbg', 'kocaknya', 'pelatihan', 'ahli', 'gizi', 'biar', 'ngejalanin', 'profesinya', 'proses', 'pendidikan', 'sesuai', 'pengambilan', 'profesi', 'uu', 'no']",31
8,"tidak perlu Ahli Gizi di MBG, yakin pak? sedangkan ahli gizi bisa merangkul semuanya dari pangan, nutrisinya, akg, kimia pangan, termasuk anatomi tubuh juga di pelajarin, intinya pak kalo semisal nih amit"" nya ada ""keracunan"" jangan bawa"" nama Ahli Gizi apabila di dapur MBG tidak ada seorang profesi Ahli Gizi dan satu lagi apabila di dapur MBG tidak ada Ahli Gizi jangan beranggapan ""mereka"" ini seorang Ahli Gizi",24,1,2025-11-16T15:37:24.000Z,its.mezra,https://www.tiktok.com/@badangizinasional.ri/video/7572913032108821768,7505814651469333512,7573347774964957960,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b9dd43f4b6d4a88c1fa72211f90c083a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=bf2a8bd5&x-expires=1770796800&x-signature=1Ck7jG%2FB%2FQYG7zgsZYSymH8c2J4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,mbg_tiktok_bgn1,"tidak perlu ahli gizi di mbg, yakin pak? sedangkan ahli gizi bisa merangkul semuanya dari pangan, nutrisinya, akg, kimia pangan, termasuk anatomi tubuh juga di pelajarin, intinya pak kalo semisal nih amit"" nya ada ""keracunan"" jangan bawa"" nama ahli gizi apabila di dapur mbg tidak ada seorang profesi ahli gizi dan satu lagi apabila di dapur mbg tidak ada ahli gizi jangan beranggapan ""mereka"" ini seorang ahli gizi",tidak perlu ahli gizi di mbg yakin pak sedangkan ahli gizi bisa merangkul semuanya dari pangan nutrisinya akg kimia pangan termasuk anatomi tubuh juga di pelajarin intinya pak kalo semisal nih amit nya ada keracunan jangan bawa nama ahli gizi apabila di dapur mbg tidak ada seorang profesi ahli gizi dan satu lagi apabila di dapur mbg tidak ada ahli gizi jangan beranggapan mereka ini seorang ahli gizi,"['tidak', 'perlu', 'ahli', 'gizi', 'di', 'mbg', 'yakin', 'pak', 'sedangkan', 'ahli', 'gizi', 'bisa', 'merangkul', 'semuanya', 'dari', 'pangan', 'nutrisinya', 'akg', 'kimia', 'pangan', 'termasuk', 'anatomi', 'tubuh', 'juga', 'di', 'pelajarin', 'intinya', 'pak', 'kalo', 'semisal', 'nih', 'amit', 'nya', 'ada', 'keracunan', 'jangan', 'bawa', 'nama', 'ahli', 'gizi', 'apabila', 'di', 'dapur', 'mbg', 'tidak', 'ada', 'seorang', 'profesi', 'ahli', 'gizi', 'dan', 'satu', 'lagi', 'apabila', 'di', 'dapur', 'mbg', 'tidak', 'ada', 'ahli', 'gizi', 'jangan', 'beranggapan', 'mereka', 'ini', 'seorang', 'ahli', 'gizi']",68,"['ahli', 'gizi', 'mbg', 'ahli', 'gizi', 'merangkul', 'pangan', 'nutrisinya', 'akg', 'kimia', 'pangan', 'anatomi', 'tubuh', 'pelajarin', 'intinya', 'amit', 'keracunan', 'bawa', 'nama', 'ahli', 'gizi', 'dapur', 'mbg', 'profesi', 'ahli', 'gizi', 'dapur', 'mbg', 'ahli', 'gizi', 'beranggapan', 'ahli', 'gizi']",33
9,boleh gak sih di lihat ahli gizi tu kerjanya gimna? di hargai dengan cara di perhatikan di tanya kenapa bisa pindah dapur. dan cari solusi bukan malah cari jalan lain yang hanya akan menimbulkan masalah baru. gak adil banget bagi tenaga gizi yang bener bener kerja tapi malah kayak gini.,36,1,2025-11-15T22:45:02.000Z,aylifah29,https://www.tiktok.com/@badangizinasional.ri/video/7572913032108821768,7359012849568318470,7573086788362437396,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/026cd28dcb208e4cd78bbed64ea6dc1f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=66841ad0&x-expires=1770796800&x-signature=f3cX8%2FQGNKxETZlDTTP99l2ismU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,mbg_tiktok_bgn1,boleh gak sih di lihat ahli gizi tu kerjanya gimna? di hargai dengan cara di perhatikan di tanya kenapa bisa pindah dapur. dan cari solusi bukan malah cari jalan lain yang hanya akan menimbulkan masalah baru. gak adil banget bagi tenaga gizi yang bener bener kerja tapi malah kayak gini.,boleh gak sih di lihat ahli gizi tu kerjanya gimna di hargai dengan cara di perhatikan di tanya kenapa bisa pindah dapur dan cari solusi bukan malah cari jalan lain yang hanya akan menimbulkan masalah baru gak adil banget bagi tenaga gizi yang bener bener kerja tapi malah kayak gini,"['boleh', 'gak', 'sih', 'di', 'lihat', 'ahli', 'gizi', 'tu', 'kerjanya', 'gimna', 'di', 'hargai', 'dengan', 'cara', 'di', 'perhatikan', 'di', 'tanya', 'kenapa', 'bisa', 'pindah', 'dapur', 'dan', 'cari', 'solusi', 'bukan', 'malah', 'cari', 'jalan', 'lain', 'yang', 'hanya', 'akan', 'menimbulkan', 'masalah', 'baru', 'gak', 'adil', 'banget', 'bagi', 'tenaga', 'gizi', 'yang', 'bener', 'bener', 'kerja', 'tapi', 'malah', 'kayak', 'gini']",50,"['lihat', 'ahli', 'gizi', 'tu', 'kerjanya', 'gimna', 'hargai', 'perhatikan', 'pindah', 'dapur', 'cari', 'solusi', 'cari', 'jalan', 'menimbulkan', 'adil', 'tenaga', 'gizi', 'bener', 'bener', 'kerja', 'gini']",22
