text,diggCount,replyCommentTotal,createTimeISO,uniqueId,text_final,lda_topic,lda_topic_prob,lda_topic_words,bertopic_topic,bertopic_topic_prob,bertopic_topic_words,lda_best_topic,lda_best_prob,bertopic_modeling_topic,bertopic_modeling_prob
"mbg gak hanya buat anak sekolah ya gaes, ibu hamil menyusui juga dpt",3,3,2025-11-20T01:56:30.000Z,shanmarys,makan bergizi gratis tidak hanya buat anak sekolah ya gaes ibu_hamil menyusui juga dpt,5,0.8135674179412622,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.9416373451915222,0,0.8429276959327466
sbnrnya program mbg bagus yg meruesakny yg mengelolny..tapi tidak semua pengelola buruk ada jg yg amanah baik ☺️,0,0,2026-01-13T02:02:10.000Z,tya371,sbnrnya program makan bergizi gratis bagus yang meruesakny yang mengelolny tetapi tidak semua pengelola buruk ada juga yang amanah baik,5,0.8331025400726956,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.9539256776373105,0,0.7662484714697244
"aku guru paud, sangat senang dengan program mbg, tapii.. guru paud itu tidak dpt apa2 ya gaes, berita ttg insetif yg didapat guru itu hanya untuk yg jml siswanya diatas 100.. kami ikhlas? tentu, anak2 suka.. kami capek? iya..apakah guru paud desa tidak seberarti itu? tentu saja, ini masalah dianggap dan tidaknya, gaji kami kecil, tidak bisa ikut ppg dll, bahkan ikut melaksanakan program mbg pun kami dibayar dengan ikhlas..gpp, nanti pasti ada hitungannya 😁",3,0,2025-12-05T08:54:09.000Z,ayaisback_,saya guru paud sangat senang dengan program makan bergizi gratis tapii guru paud itu tidak dpt apa ya gaes berita ttg insetif yang didapat guru itu hanya untuk yang jml siswanya diatas kami ikhlas tentu anak suka kami capek ya apakah guru paud desa tidak seberarti itu tentu saja ini masalah dianggap dan tidaknya gaji kami kecil tidak bisa ikut ppg dan lain-lain bahkan ikut melaksanakan program makan bergizi gratis pun kami dibayar dengan ikhlas tidak apa-apa nanti pasti ada hitungannya,5,0.8864484094916862,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,7,0.5907426773487686,0,0.819004619007036
mbg anak2 jadi semangat sekolah... the best p Prabowo 👏👏👏,0,0,2025-11-15T08:59:41.000Z,akbarnaluri,makan bergizi gratis anak jadi semangat sekolah the_best p_prabowo,5,0.5822267427533748,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.812429845453794,0,0.834846256394049
lanjut MBG terus pak Prabowo sampai selama-lamanya,1,0,2026-01-08T08:24:36.000Z,tokorshi78,lanjut makan bergizi gratis terus bapak_prabowo sampai selama lamanya,5,0.7720631379176133,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.7320368853158162,0,0.8303353279828791
bulan puasa ngak ada MBG,1,0,2026-01-11T13:52:59.000Z,hannum2019,bulan_puasa ngak ada makan bergizi gratis,5,0.7486336821559211,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.5710894128909024,-1,0.614733350420108
lapangan kerja OMON OMON pak😭😭,0,0,2026-01-29T00:20:08.000Z,indramundara522,lapangan_kerja omon_omon bapak,5,0.3723841836296799,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,6,0.5312315328958379,11,0.13771734665570234
"saya sbg org desa Plosok perbatasan kabupaten pesisir Utara Jawa tengah, mmg benar, siswa2 di sini KLO gaada mbg, gamungkin ada yg minum susu uht krna kbnyakan ekonomi menengah ke bwah, krna org2 kaya nyekolahin anak2nya ke kota 😌 kata mereka mahal, krna mbg mereka bisa minum susu mskipun ga tiap hari, bisa makan bergizi seimbang tiap hari 😌 makanya KLO anda2 merasa ekonomi cukup dan mampu untuk memberikan gizi yg baik untuk anak anda, mungkin anda bukan target pak Prabowo, gausah demo, ngmng ke pihak sekolah KLO gamau mbg, cukup.",0,0,2025-11-16T03:34:56.000Z,user58598702726857,saya sbg org desa plosok perbatasan kabupaten pesisir utara jawa tengah mmg benar siswa di sini kalau tidak ada makan bergizi gratis gamungkin ada yang minum_susu uht karena kbnyakan ekonomi menengah ke bwah karena org_kaya nyekolahin anaknya ke kota kata mereka mahal karena makan bergizi gratis mereka bisa minum_susu mskipun tidak setiap_hari bisa makan_bergizi seimbang setiap_hari makanya kalau anda merasa ekonomi cukup dan mampu untuk memberikan gizi yang baik untuk anak anda mungkin anda bukan target bapak_prabowo gausah demo ngmng ke pihak_sekolah kalau gamau makan bergizi gratis cukup,5,0.8959179988581115,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.5789295879202891,0,0.7593308989604279
buat aku aja,0,0,2026-02-05T02:50:37.000Z,eropzz112,buat saya saja,5,0.6974177047518385,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.7812003225885661,0,1.0
"terimakasih banyak pak prabowo,karna progam MBG saya kbanjiran pesanan,alhmdllh🤲🤲🤲🥹🥹🥹🥰",0,0,2025-11-15T13:57:30.000Z,elysafitriani58,terimakasih banyak bapak_prabowo karena progam makan bergizi gratis saya kbanjiran pesanan alhmdllh,5,0.4574817172973882,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.6564537802190622,-1,0.7473956704017548
"Maksudnya kayak gini, lho. MBG effect. Makanya tolong yg ngurus MBG jangan dikorupsi, jangan dikuasain sama orang2 kenal aja. Cari usaha UMKM yg kayak gini. Dalam 1 kecamatan itu bisa banyak yg kena effect begini. Kalau yg ngelola bener",0,0,2025-12-05T02:18:10.000Z,hyoulast,maksudnya kayak_begini lho makan bergizi gratis effect makanya tolong yang ngurus makan bergizi gratis jangan dikorupsi jangan dikuasain dengan orang kenal saja cari usaha umkm yang kayak_begini dalam kecamatan itu bisa banyak yang kena effect begini kalau yang ngelola benar,5,0.8326717817829803,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.9129911261370726,-1,0.3582488260368149
